Restaurant Name,City,Locality,Average_Cost_USD,Currency,Price range,Votes,Has Table booking,Has Online delivery,Cuisine_Count,Aggregate rating
Le Petit Souffle,Makati City,"Century City Mall, Poblacion, Makati City",104.5,Botswana Pula(P),3,314,1,0,3,4.8
Izakaya Kikufuji,Makati City,"Little Tokyo, Legaspi Village, Makati City",114.0,Botswana Pula(P),3,591,1,0,1,4.5
Heat - Edsa Shangri-La,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City",380.0,Botswana Pula(P),4,270,1,0,4,4.4
Ooma,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",142.5,Botswana Pula(P),4,365,0,0,2,4.9
Sambo Kojin,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",142.5,Botswana Pula(P),4,229,1,0,2,4.8
Din Tai Fung,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",95.0,Botswana Pula(P),3,336,0,0,1,4.4
Buffet 101,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",190.0,Botswana Pula(P),4,520,1,0,2,4.0
Vikings,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City",190.0,Botswana Pula(P),4,677,1,0,4,4.2
Spiral - Sofitel Philippine Plaza Manila,Pasay City,"Sofitel Philippine Plaza Manila, Pasay City",570.0,Botswana Pula(P),4,621,1,0,3,4.9
Locavore,Pasig City,Kapitolyo,104.5,Botswana Pula(P),3,532,1,0,1,4.8
Silantro Fil-Mex,Pasig City,Kapitolyo,76.0,Botswana Pula(P),3,1070,0,0,2,4.9
Mad Mark's Creamery & Good Eats,Pasig City,Kapitolyo,85.5,Botswana Pula(P),3,488,1,0,3,4.2
Silantro Fil-Mex,Quezon City,"UP Town Center, Diliman, Quezon City",76.0,Botswana Pula(P),3,294,0,0,2,4.8
Guevarra's,San Juan City,Addition Hills,95.0,Botswana Pula(P),3,458,1,0,1,4.2
Sodam Korean Restaurant,San Juan City,Little Baguio,66.5,Botswana Pula(P),3,223,0,0,1,4.3
Cafe Arabelle,Santa Rosa,"Nuvali, Don Jose, Santa Rosa",76.0,Botswana Pula(P),3,29,0,0,4,3.6
Nonna's Pasta & Pizzeria,Santa Rosa,"Solenad 3, Don Jose, Santa Rosa",80.75,Botswana Pula(P),3,72,0,0,2,4.0
Balay Dako,Tagaytay City,Tagaytay City,114.0,Botswana Pula(P),3,211,1,0,1,4.5
Hobing Korean Dessert Cafe,Taguig City,"BGC Stopover Pavillion, Bonifacio Global City",57.0,Botswana Pula(P),2,118,0,0,3,4.5
Wildflour Cafe + Bakery,Taguig City,Bonifacio Global City,142.5,Botswana Pula(P),4,392,1,0,4,4.4
NIU by Vikings,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",285.0,Botswana Pula(P),4,535,1,0,4,4.7
The Food Hall by Todd English,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City",171.0,Botswana Pula(P),4,618,1,0,4,4.5
Chez Michou,Brasí_lia,Asa Norte,13.75,Brazilian Real(R$),2,6,0,0,2,3.0
Cafí© Daniel Briand,Brasí_lia,Asa Norte,7.5,Brazilian Real(R$),1,9,0,0,1,3.8
Casa do Biscoito Mineiro,Brasí_lia,Asa Norte,11.25,Brazilian Real(R$),2,11,0,0,1,3.7
Maori,Brasí_lia,Asa Norte,15.0,Brazilian Real(R$),3,11,0,0,1,3.8
Pizza íæ Bessa,Brasí_lia,Asa Sul,12.5,Brazilian Real(R$),2,11,0,0,1,3.2
Sushi Loko,Brasí_lia,Asa Sul,20.0,Brazilian Real(R$),3,10,0,0,1,3.1
Beirute,Brasí_lia,Asa Sul,22.5,Brazilian Real(R$),3,8,0,0,1,3.7
New Koto,Brasí_lia,Asa Sul,50.0,Brazilian Real(R$),4,5,0,0,1,3.7
Villa Tevere,Brasí_lia,Asa Sul,37.5,Brazilian Real(R$),4,12,0,0,1,4.1
Rovereto,Brasí_lia,íguas Claras,25.0,Brazilian Real(R$),4,9,0,0,1,3.1
Buena Carne,Brasí_lia,íguas Claras,15.0,Brazilian Real(R$),3,9,0,0,2,3.6
Taco Pep,Brasí_lia,íguas Claras,25.0,Brazilian Real(R$),4,29,0,0,2,4.3
Coco Bambu,Brasí_lia,"Brasí_lia Shopping, Asa Norte",57.5,Brazilian Real(R$),4,17,0,0,1,4.2
Taypíç,Brasí_lia,Lago Sul,25.0,Brazilian Real(R$),4,5,0,0,2,3.6
Outback Steakhouse,Brasí_lia,"ParkShopping, Guaríç I",37.5,Brazilian Real(R$),4,10,0,0,2,4.0
Manzuíç,Brasí_lia,"Pontí£o Lago Sul, Lago Sul",60.0,Brazilian Real(R$),4,6,0,0,1,3.2
Coco Bambu,Brasí_lia,Setor De Clubes Esportivos Sul,57.5,Brazilian Real(R$),4,30,0,0,1,4.9
Gero,Brasí_lia,"Shopping Iguatemi, Lago Norte",87.5,Brazilian Real(R$),4,8,0,0,1,3.3
Brazilian American Burgers,Brasí_lia,Sudoeste,12.5,Brazilian Real(R$),2,9,0,0,2,3.6
Pesqueiro Eco Gourmet,Rio de Janeiro,Barra da Tijuca,35.0,Brazilian Real(R$),4,7,0,0,3,4.0
Confeitaria Colombo,Rio de Janeiro,Centro,25.0,Brazilian Real(R$),4,29,0,0,2,4.8
Bibi,Rio de Janeiro,Copacabana,15.0,Brazilian Real(R$),3,24,0,0,2,4.7
Cervantes,Rio de Janeiro,Copacabana,22.5,Brazilian Real(R$),3,29,0,0,3,4.5
Amir,Rio de Janeiro,Copacabana,42.5,Brazilian Real(R$),4,11,0,0,1,4.2
TT Burger,Rio de Janeiro,"Galeria River, Copacabana",15.0,Brazilian Real(R$),3,19,0,0,1,4.8
Braseiro da Gíçvea,Rio de Janeiro,Gíçvea,25.0,Brazilian Real(R$),4,40,0,0,2,4.9
Balada Mix,Rio de Janeiro,Ipanema,22.5,Brazilian Real(R$),3,21,0,0,4,4.6
Garota de Ipanema,Rio de Janeiro,Ipanema,30.0,Brazilian Real(R$),4,49,0,0,2,4.9
Zazíç BistríÇ Tropical,Rio de Janeiro,Ipanema,42.5,Brazilian Real(R$),4,21,0,0,1,4.6
Filí© de Ouro,Rio de Janeiro,Lagoa,22.5,Brazilian Real(R$),3,14,0,0,1,4.3
D.O.C Ristorante,Rio de Janeiro,"Le Monde, Barra da Tijuca",37.5,Brazilian Real(R$),4,5,0,0,1,4.0
Sushi Leblon,Rio de Janeiro,Leblon,62.5,Brazilian Real(R$),4,25,0,0,1,4.6
Talho Capixaba,Rio de Janeiro,Leblon,30.0,Brazilian Real(R$),4,13,0,0,3,4.4
Leme Light,Rio de Janeiro,Leme,10.0,Brazilian Real(R$),2,7,0,0,1,4.2
Shirley,Rio de Janeiro,Leme,62.5,Brazilian Real(R$),4,8,0,0,2,4.2
Aprazí_vel,Rio de Janeiro,Santa Teresa,75.0,Brazilian Real(R$),4,44,0,0,1,4.7
Aconchego Carioca,Rio de Janeiro,Tijuca,21.25,Brazilian Real(R$),3,24,0,0,2,4.6
Garota de Ipanema,Rio de Janeiro,Urca,20.0,Brazilian Real(R$),3,10,0,0,2,4.3
Cantina Famiglia Mancini,Sí£o Paulo,"Bela Vista, Centro",62.5,Brazilian Real(R$),4,49,0,0,2,4.5
Templo da Carne - Marcos Bassi,Sí£o Paulo,"Bela Vista, Centro",62.5,Brazilian Real(R$),4,17,0,0,2,4.4
Gopala Hari,Sí£o Paulo,Consolaí_í£o,17.5,Brazilian Real(R$),3,5,0,0,1,3.1
Jiquitaia,Sí£o Paulo,Consolaí_í£o,25.0,Brazilian Real(R$),4,15,0,0,1,4.1
Skye - Hotel Unique,Sí£o Paulo,"Hotel Unique, Jardim Paulista",75.0,Brazilian Real(R$),4,59,0,0,2,4.8
Les 3 Brasseurs,Sí£o Paulo,Itaim Bibi,30.0,Brazilian Real(R$),4,30,0,0,3,4.6
Red Steak & Burger,Sí£o Paulo,Itaim Bibi,18.75,Brazilian Real(R$),3,5,0,0,2,3.9
Paris 6 Classique,Sí£o Paulo,Jardim Paulista,50.0,Brazilian Real(R$),4,73,0,0,1,3.4
Kawa Sushi,Sí£o Paulo,Jardim Paulista,30.0,Brazilian Real(R$),4,9,0,0,2,3.5
A Figueira Rubaiyat,Sí£o Paulo,Jardim Paulista,75.0,Brazilian Real(R$),4,39,0,0,3,4.3
Kinoshita,Sí£o Paulo,Moema,57.5,Brazilian Real(R$),4,12,0,0,1,3.9
Meats,Sí£o Paulo,Pinheiros,30.0,Brazilian Real(R$),4,68,0,0,2,4.3
Paribar,Sí£o Paulo,Repí_blica,37.5,Brazilian Real(R$),4,46,0,0,2,4.3
Terraí_o Itíçlia,Sí£o Paulo,Repí_blica,100.0,Brazilian Real(R$),4,37,0,0,1,4.4
Esquina Mocotí_,Sí£o Paulo,Vila Maria,25.0,Brazilian Real(R$),4,22,0,0,2,4.4
Veloso,Sí£o Paulo,Vila Mariana,17.5,Brazilian Real(R$),3,58,0,0,3,4.6
Sainte Marie Gastronomia,Sí£o Paulo,Vila SíÇnia,30.0,Brazilian Real(R$),4,11,0,0,2,4.1
Austin's BBQ and Oyster Bar,Albany,Albany,25.0,Dollar($),2,35,0,0,3,3.3
BJ's Country Buffet,Albany,Albany,10.0,Dollar($),1,25,0,0,2,3.3
Cookie Shoppe,Albany,Albany,0.0,Dollar($),1,34,0,0,1,3.4
El Vaquero Mexican Restaurant,Albany,Albany,0.0,Dollar($),1,45,0,0,1,3.4
Elements Coffee Co - Northwest,Albany,Albany,10.0,Dollar($),1,26,0,0,2,3.4
Pearly's Famous Country Cookng,Albany,Albany,0.0,Dollar($),1,36,0,0,1,3.4
Chick-fil-A,Albany,Albany,10.0,Dollar($),1,67,0,0,1,3.5
Guang Zhou Chinese Restaurant,Albany,Albany,10.0,Dollar($),1,141,0,0,3,3.9
Harvest Moon,Albany,Albany,25.0,Dollar($),2,147,0,0,3,3.7
Henry Campbell's Steakhouse,Albany,Albany,70.0,Dollar($),4,51,0,0,3,3.5
Hong Kong Cafe,Albany,Albany,25.0,Dollar($),2,88,0,0,3,3.6
House of China Restaurant II,Albany,Albany,10.0,Dollar($),1,153,0,0,1,3.8
Jimmie's Hot Dogs,Albany,Albany,10.0,Dollar($),1,160,0,0,1,3.9
Locos Grill & Pub,Albany,Albany,25.0,Dollar($),2,57,0,0,3,3.5
Longhorn Steakhouse,Albany,Albany,25.0,Dollar($),2,58,0,0,2,3.5
Mikata Japanese Steakhouse,Albany,Albany,40.0,Dollar($),3,115,0,0,3,3.6
Shogun Japanese Steak House,Albany,Albany,40.0,Dollar($),3,51,0,0,3,3.5
The Catch Seafood Room & Oyster Bar,Albany,Albany,40.0,Dollar($),3,250,0,0,3,3.8
Villa Gargano,Albany,Albany,10.0,Dollar($),1,117,0,0,2,3.7
3 Squares Diner,Albany,Sylvester,10.0,Dollar($),1,20,0,0,3,3.4
Whitebull Hotel,Armidale,Armidale,20.0,Dollar($),2,25,0,0,2,3.5
Last Resort Grill,Athens,Athens,40.0,Dollar($),3,1821,0,0,3,4.5
Mama's Boy Restaurant,Athens,Athens,10.0,Dollar($),1,849,0,0,1,4.5
Sr. Sol 1,Athens,Athens,10.0,Dollar($),1,917,0,0,1,4.6
Choo Choo Eastside,Athens,Athens,10.0,Dollar($),1,439,0,0,2,3.9
The Grill,Athens,Athens,10.0,Dollar($),1,289,0,0,3,3.7
Big City Bread Cafe,Athens,Athens,10.0,Dollar($),1,558,0,0,2,4.3
Clocked,Athens,Athens,10.0,Dollar($),1,613,0,0,3,4.2
DePalma's Italian Cafe - Downtown,Athens,Athens,25.0,Dollar($),2,353,0,0,3,4.0
DePalma's Italian Cafe - East Side,Athens,Athens,25.0,Dollar($),2,387,0,0,3,4.1
Five & Ten,Athens,Athens,40.0,Dollar($),3,755,0,0,1,4.3
Grit,Athens,Athens,10.0,Dollar($),1,800,0,0,3,4.2
Ike & Jane,Athens,Athens,10.0,Dollar($),1,350,0,0,1,4.1
La Dolce Vita Ristorante,Athens,Athens,40.0,Dollar($),3,464,0,0,1,4.1
Shokitini,Athens,Athens,25.0,Dollar($),2,550,0,0,3,4.2
Taqueria Del Sol,Athens,Athens,10.0,Dollar($),1,543,0,0,2,4.1
The National,Athens,Athens,40.0,Dollar($),3,465,0,0,2,4.1
The Royal Peasant,Athens,Athens,10.0,Dollar($),1,546,0,0,1,4.4
Transmetropolitan,Athens,Athens,10.0,Dollar($),1,1098,0,0,3,4.4
Trappeze Pub,Athens,Athens,25.0,Dollar($),2,579,0,0,2,4.2
Viva! Argentine Cuisine,Athens,Athens,10.0,Dollar($),1,374,0,0,3,4.1
Miyabi Kyoto Japanese Steak House,Augusta,Augusta,40.0,Dollar($),3,717,0,0,2,4.6
Rae's Coastal Cafe,Augusta,Augusta,40.0,Dollar($),3,548,0,0,3,4.9
The Bee's Knees,Augusta,Augusta,25.0,Dollar($),2,631,0,0,3,4.5
Boll Weevil Cafe,Augusta,Augusta,10.0,Dollar($),1,372,0,0,3,3.9
Farmhaus Burger,Augusta,Augusta,25.0,Dollar($),2,201,0,0,2,3.9
Manuel's Bread Cafe,Augusta,Augusta,40.0,Dollar($),3,332,0,0,2,3.8
Sconyers Bar B Que,Augusta,Augusta,25.0,Dollar($),2,304,0,0,1,3.5
Frog Hollow Tavern,Augusta,Augusta,40.0,Dollar($),3,368,0,0,1,4.3
Giuseppe's Pizza & Italian Specialities,Augusta,Augusta,25.0,Dollar($),2,430,0,0,3,4.1
Mellow Mushroom,Augusta,Augusta,25.0,Dollar($),2,433,0,0,3,4.4
Nacho Mamas Burritos,Augusta,Augusta,10.0,Dollar($),1,380,0,0,1,4.0
Rhinehart's Oyster Bar,Augusta,Augusta,25.0,Dollar($),2,456,0,0,3,4.0
Takosushi,Augusta,Augusta,40.0,Dollar($),3,647,0,0,3,4.2
The Chop House,Augusta,Augusta,40.0,Dollar($),3,360,0,0,1,4.0
The Taj of India,Augusta,Augusta,25.0,Dollar($),2,227,0,0,1,4.0
Augsburg Haus,Augusta,Evans,25.0,Dollar($),2,290,0,0,1,3.9
Pho Bac,Augusta,Evans,10.0,Dollar($),1,270,0,0,1,4.1
Rhinehart's Oyster Bar,Augusta,Evans,25.0,Dollar($),2,326,0,0,2,4.0
Thai Kitchen,Augusta,Evans,35.0,Dollar($),3,317,0,0,1,4.3
El Kiosco Mexican Restaurant,Augusta,Grovetown,10.0,Dollar($),1,300,0,0,1,4.2
Taste of Balingup,Balingup,Balingup,20.0,Dollar($),2,21,0,0,1,3.2
Bridge Road Brewers,Beechworth,Beechworth,20.0,Dollar($),2,237,0,0,2,4.6
Bardenay,Boise,Boise,25.0,Dollar($),2,879,0,0,2,4.5
Flatbread Neapolitan Pizzeria,Boise,Boise,25.0,Dollar($),2,615,0,0,2,4.6
Goldy's Breakfast Bistro,Boise,Boise,25.0,Dollar($),2,879,0,0,2,4.5
Chandlers Steakhouse,Boise,Boise,70.0,Dollar($),4,379,0,0,3,3.9
Bar Gernika Basque Pub & Eatery,Boise,Boise,10.0,Dollar($),1,303,0,0,2,4.3
Barbacoa Restaurant,Boise,Boise,70.0,Dollar($),4,538,0,0,2,4.1
Big Jud's,Boise,Boise,10.0,Dollar($),1,334,0,0,3,4.2
Bittercreek Ale House,Boise,Boise,25.0,Dollar($),2,555,0,0,2,4.3
Boise Fry Company,Boise,Boise,10.0,Dollar($),1,823,0,0,2,4.4
Flying Pie Pizzaria,Boise,Boise,25.0,Dollar($),2,550,0,0,1,4.1
Fork,Boise,Boise,25.0,Dollar($),2,650,0,0,2,4.4
Guido's Original New York Style Pizza,Boise,Boise,10.0,Dollar($),1,410,0,0,1,4.3
Los Beto's,Boise,Boise,10.0,Dollar($),1,660,0,0,1,4.4
Lucianos Italian Restaurant,Boise,Boise,25.0,Dollar($),2,360,0,0,3,4.4
Mai Thai Restaurant,Boise,Boise,40.0,Dollar($),3,340,0,0,2,4.0
Shige Japanese Cuisine,Boise,Boise,25.0,Dollar($),2,393,0,0,3,4.1
The Egg Factory,Boise,Boise,10.0,Dollar($),1,422,0,0,1,4.3
Tucanos,Boise,Boise,40.0,Dollar($),3,435,0,0,1,4.0
Texas Roadhouse,Boise,Meridian,25.0,Dollar($),2,369,0,0,3,4.0
Brick 29,Boise,Nampa,40.0,Dollar($),3,487,0,0,1,4.4
Winifreds,Cedar Rapids/Iowa City,Cedar Rapids,40.0,Dollar($),3,98,0,0,3,3.7
Biaggi's Ristorante Italiano,Cedar Rapids/Iowa City,Cedar Rapids,40.0,Dollar($),3,365,0,0,2,4.1
El Super Burrito,Cedar Rapids/Iowa City,Cedar Rapids,10.0,Dollar($),1,190,0,0,1,4.1
Granite City Food & Brewery,Cedar Rapids/Iowa City,Cedar Rapids,40.0,Dollar($),3,429,0,0,3,4.1
Irish Democrat,Cedar Rapids/Iowa City,Cedar Rapids,25.0,Dollar($),2,430,0,0,3,4.4
Taste of India,Cedar Rapids/Iowa City,Cedar Rapids,25.0,Dollar($),2,186,0,0,1,4.2
Thai Moon Restaurant,Cedar Rapids/Iowa City,Cedar Rapids,10.0,Dollar($),1,220,0,0,3,4.2
Ting's Red Lantern,Cedar Rapids/Iowa City,Cedar Rapids,10.0,Dollar($),1,347,0,0,1,4.2
Monica's,Cedar Rapids/Iowa City,Coralville,25.0,Dollar($),2,161,0,0,3,3.8
Exotic India,Cedar Rapids/Iowa City,Coralville,25.0,Dollar($),2,160,0,0,1,4.1
Shorts Burger and Shine,Cedar Rapids/Iowa City,Iowa City,10.0,Dollar($),1,820,0,0,1,4.9
The Hamburg Inn No. 2 Inc.,Cedar Rapids/Iowa City,Iowa City,10.0,Dollar($),1,488,0,0,3,4.5
Bluebird Diner,Cedar Rapids/Iowa City,Iowa City,25.0,Dollar($),2,253,0,0,2,3.6
Graze,Cedar Rapids/Iowa City,Iowa City,40.0,Dollar($),3,220,0,0,3,3.8
A & A Pagliai's Pizza,Cedar Rapids/Iowa City,Iowa City,25.0,Dollar($),2,485,0,0,1,4.3
Atlas World Grill,Cedar Rapids/Iowa City,Iowa City,40.0,Dollar($),3,428,0,0,1,4.3
BlackStone,Cedar Rapids/Iowa City,Iowa City,25.0,Dollar($),2,294,0,0,2,4.1
Devotay,Cedar Rapids/Iowa City,Iowa City,40.0,Dollar($),3,380,0,0,3,4.0
Jimmy Jack's Rib Shack,Cedar Rapids/Iowa City,Iowa City,25.0,Dollar($),2,259,0,0,1,4.2
Zoeys Pizzeria,Cedar Rapids/Iowa City,Marion,25.0,Dollar($),2,433,0,0,2,4.7
Tokyo Sushi,Chatham-Kent,Chatham-Kent,25.0,Dollar($),2,176,0,0,2,3.7
Berry Patch Restaurant,Clatskanie,Clatskanie,10.0,Dollar($),1,96,0,0,3,4.3
Sakura Sushi & Grill,Cochrane,Cochrane,25.0,Dollar($),2,6,0,0,2,3.1
Uptown Vietnam cuisine,Columbus,Columbus,10.0,Dollar($),1,33,0,0,2,3.3
Cafe Le Rue @ The Landings,Columbus,Columbus,25.0,Dollar($),2,489,0,0,3,4.6
Mark's City Grille,Columbus,Columbus,25.0,Dollar($),2,345,0,0,1,4.5
B Merrell's,Columbus,Columbus,25.0,Dollar($),2,149,0,0,3,3.8
Cannon Brewpub,Columbus,Columbus,25.0,Dollar($),2,330,0,0,2,3.9
Fuji Japanese Steak House,Columbus,Columbus,40.0,Dollar($),3,247,0,0,2,3.9
Ruth Ann's Family Restaurant,Columbus,Columbus,10.0,Dollar($),1,123,0,0,3,3.7
Samurai Japanese Cuisine & Sushi Bar,Columbus,Columbus,40.0,Dollar($),3,109,0,0,3,3.6
Wasabi Sushi and Thai,Columbus,Columbus,40.0,Dollar($),3,134,0,0,3,3.7
Buckhead Bar and Grill,Columbus,Columbus,40.0,Dollar($),3,722,0,0,3,4.2
Burt's Butcher Shoppe and Eatery,Columbus,Columbus,25.0,Dollar($),2,213,0,0,1,4.3
Chef Lee's Peking Restaurant,Columbus,Columbus,25.0,Dollar($),2,335,0,0,1,4.0
Country's Barbecue,Columbus,Columbus,25.0,Dollar($),2,353,0,0,2,4.0
Deorio's,Columbus,Columbus,0.0,Dollar($),1,170,0,0,2,4.0
Mellow Mushroom,Columbus,Columbus,25.0,Dollar($),2,192,0,0,1,4.1
Meritage,Columbus,Columbus,40.0,Dollar($),3,302,0,0,2,4.1
Mongo The Mongolian Fire Pit,Columbus,Columbus,10.0,Dollar($),1,355,0,0,2,4.2
The Black Cow,Columbus,Columbus,25.0,Dollar($),2,287,0,0,1,4.3
Wood Stone,Columbus,Columbus,40.0,Dollar($),3,264,0,0,3,4.0
Hunter's Pub,Columbus,Hamilton,40.0,Dollar($),3,235,0,0,3,4.4
Consort Restaurant,Consort,Consort,25.0,Dollar($),2,6,0,0,2,3.0
Thatcher's Barbeque and Grill,Dalton,Calhoun,25.0,Dollar($),2,38,0,0,3,3.7
Christian and Jake's Bistro,Dalton,Calhoun,10.0,Dollar($),1,122,0,0,2,4.4
Dub's High on the Hog,Dalton,Calhoun,25.0,Dollar($),2,207,0,0,1,4.4
Sierra's Mexican Restaurant,Dalton,Chatsworth,10.0,Dollar($),1,66,0,0,2,3.9
Oakwood Cafe,Dalton,Dalton,10.0,Dollar($),1,249,0,0,3,4.9
Chili's Grill & Bar,Dalton,Dalton,25.0,Dollar($),2,63,0,0,1,3.8
Fuji Japanese Steakhouse,Dalton,Dalton,40.0,Dollar($),3,145,0,0,2,3.8
Las Palmas,Dalton,Dalton,10.0,Dollar($),1,83,0,0,1,3.8
Tony's Italian Restaurant & Pizza,Dalton,Dalton,25.0,Dollar($),2,116,0,0,1,3.7
Filling Station,Dalton,Dalton,10.0,Dollar($),1,122,0,0,2,4.1
Five Guys Burgers and Fries,Dalton,Dalton,10.0,Dollar($),1,142,0,0,1,4.1
Los Pablos,Dalton,Dalton,10.0,Dollar($),1,114,0,0,1,4.1
Kobe Hibachi & Sushi,Dalton,Fort Oglethorpe,25.0,Dollar($),2,214,0,0,3,4.6
Soho Hibachi,Dalton,Fort Oglethorpe,10.0,Dollar($),1,116,0,0,1,4.3
Thai Garden,Dalton,Fort Oglethorpe,25.0,Dollar($),2,111,0,0,1,4.2
Southern Bliss Bakery,Dalton,LaFayette,10.0,Dollar($),1,25,0,0,2,3.7
Bailey's Bar-B-Que,Dalton,Ringgold,10.0,Dollar($),1,128,0,0,1,4.1
Farm To Fork,Dalton,Ringgold,10.0,Dollar($),1,244,0,0,3,4.3
Home Plate Grill,Dalton,Ringgold,10.0,Dollar($),1,112,0,0,3,4.2
Pie Slingers Pizzeria,Dalton,Rock Spring,10.0,Dollar($),1,144,0,0,2,4.1
Olive Tree Cafe,Davenport,Bettendorf,25.0,Dollar($),2,166,0,0,3,4.6
"Red Ginger Sushi, Grill & Bar",Davenport,Bettendorf,40.0,Dollar($),3,208,0,0,2,4.5
Crust Stone Oven Pizza,Davenport,Bettendorf,25.0,Dollar($),2,136,0,0,2,3.9
Jimmy's Pancake House,Davenport,Bettendorf,10.0,Dollar($),1,85,0,0,3,4.0
Trattoria Tiramisu,Davenport,Bettendorf,25.0,Dollar($),2,117,0,0,1,4.1
Prairie Grille at SteepleGate Inn,Davenport,Davenport,25.0,Dollar($),2,53,0,0,2,3.4
Tantra Asian Bistro,Davenport,Davenport,25.0,Dollar($),2,474,0,0,1,4.9
Chick-fil-A,Davenport,Davenport,10.0,Dollar($),1,125,0,0,1,3.9
Duck City Bistro,Davenport,Davenport,70.0,Dollar($),4,201,0,0,2,3.7
Azteca,Davenport,Davenport,0.0,Dollar($),1,167,0,0,1,4.3
China Cafe,Davenport,Davenport,25.0,Dollar($),2,112,0,0,1,4.0
Exotic Thai Restaurant,Davenport,Davenport,25.0,Dollar($),2,256,0,0,1,4.1
Front Street Brewery,Davenport,Davenport,10.0,Dollar($),1,123,0,0,1,4.3
Granite City Food & Brewery,Davenport,Davenport,25.0,Dollar($),2,199,0,0,1,4.0
Los Agaves,Davenport,Davenport,25.0,Dollar($),2,157,0,0,1,4.1
Machine Shed Restaurant,Davenport,Davenport,25.0,Dollar($),2,100,0,0,1,4.1
Osaka,Davenport,Davenport,40.0,Dollar($),3,141,0,0,2,4.2
Texas Roadhouse,Davenport,Davenport,25.0,Dollar($),2,197,0,0,3,4.2
Hickory Park,Des Moines,Ames,25.0,Dollar($),2,1025,0,0,3,4.5
The Cafe,Des Moines,Ames,25.0,Dollar($),2,570,0,0,2,4.9
Flying Mango,Des Moines,Beaverdale,40.0,Dollar($),3,674,0,0,3,4.5
Cool Basil,Des Moines,Clive,25.0,Dollar($),2,496,0,0,3,4.1
HuHot Mongolian Grill,Des Moines,Clive,25.0,Dollar($),2,411,0,0,2,4.0
Malo,Des Moines,Downtown,25.0,Dollar($),2,113,0,0,2,3.2
Centro,Des Moines,Downtown,40.0,Dollar($),3,1109,0,0,2,4.5
Fong's Pizza,Des Moines,Downtown,25.0,Dollar($),2,728,0,0,2,4.6
A Dong Restaurant,Des Moines,Downtown,10.0,Dollar($),1,659,0,0,4,4.4
Court Avenue Brewing Company,Des Moines,Downtown,40.0,Dollar($),3,370,0,0,3,4.2
Django,Des Moines,Downtown,40.0,Dollar($),3,532,0,0,1,4.3
Miyabi 9,Des Moines,East Village,25.0,Dollar($),2,860,0,0,2,4.8
Zombie Burger + Drink Lab,Des Moines,East Village,10.0,Dollar($),1,943,0,0,3,4.2
Tursi's Latin King,Des Moines,Fairground,70.0,Dollar($),4,476,0,0,2,4.1
